ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Updated.gene.symbol	Updated.gene.title	Retained.original
243929_at	2.48e-29	1.98e-31	14.761755	60.854265	3.67321079					TRUE
229819_at	0.000187	6.51e-05	-4.104672	0.666122	-0.25631526	A1BG	alpha-1-B glycoprotein	A1BG	alpha-1-B glycoprotein	FALSE
232462_s_at	0.039	0.025	-2.263406	-4.824758	-0.09872136	A1BG-AS1	A1BG antisense RNA 1	A1BG-AS1	A1BG antisense RNA 1	FALSE
241547_at	0.0384	0.0246	-2.270346	-4.809494	-0.33876632	A1CF	APOBEC1 complementation factor	A1CF	APOBEC1 complementation factor	FALSE
217757_at	1.45e-25	2.19e-27	13.268744	51.61519	1.70608863	A2M	alpha-2-macroglobulin	A2M	alpha-2-macroglobulin	FALSE
1564139_at	6.97e-16	4.25e-17	9.470673	28.13171	0.8274408	A2M-AS1	A2M antisense RNA 1 (head to head)	A2M-AS1	A2M antisense RNA 1	FALSE
1564307_a_at	7.75e-05	2.47e-05	-4.347526	1.588785	-0.5614903	A2ML1	alpha-2-macroglobulin like 1	A2ML1	alpha-2-macroglobulin like 1	FALSE
236394_at	0.551	0.495	-0.683965	-7.116772	-0.02730268	A2MP1	alpha-2-macroglobulin pseudogene 1	A2MP1	alpha-2-macroglobulin pseudogene 1	FALSE
219488_at	0.0367	0.0234	-2.290087	-4.765835	-0.14694243	A4GALT	alpha 1,4-galactosyltransferase	A4GALT	alpha 1,4-galactosyltransferase (P1PK blood group)	FALSE
221131_at	0.865	0.839	-0.203605	-7.330098	-0.00571707	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	FALSE
241552_at	4.96e-05	1.52e-05	-4.466428	2.055674	-0.1604596	AA06	uncharacterized LOC100506677	AA06	uncharacterized LOC100506677	FALSE
218075_at	5.67e-08	1.02e-08	-6.053037	9.137032	-0.29486124	AAAS	aladin WD repeat nucleoporin	AAAS	aladin WD repeat nucleoporin	FALSE
218434_s_at	2.06e-12	1.99e-13	-8.048145	19.783445	-0.69004462	AACS	acetoacetyl-CoA synthetase	AACS	acetoacetyl-CoA synthetase	FALSE
1570020_at	0.0755	0.0524	-1.955092	-5.458373	-0.07155274	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	FALSE
205969_at	0.000107	3.53e-05	4.259112	1.248016	0.83417271	AADAC	arylacetamide deacetylase	AADAC	arylacetamide deacetylase	FALSE
240420_at	0.705	0.658	-0.442972	-7.252592	-0.02218273	AADACL2	arylacetamide deacetylase like 2	AADACL2	arylacetamide deacetylase like 2	FALSE
1569582_at	0.0528	0.035	-2.126613	-5.116671	-0.34612937	AADACP1	arylacetamide deacetylase pseudogene 1	AADACP1	arylacetamide deacetylase pseudogene 1	FALSE
223593_at	0.849	0.821	0.22676	-7.325105	0.02264232	AADAT	aminoadipate aminotransferase	AADAT	aminoadipate aminotransferase	FALSE
227534_at	3.46e-13	3.01e-14	8.372509	21.644639	0.66566836	AAED1	AhpC/TSA antioxidant enzyme domain containing 1	PRXL2C	peroxiredoxin like 2C	FALSE
202852_s_at	1.26e-09	1.78e-10	-6.830478	13.096611	-0.49682008	AAGAB	alpha- and gamma-adaptin binding protein	AAGAB	alpha and gamma adaptin binding protein	FALSE
238100_at	1.03e-06	2.28e-07	-5.414348	6.108561	-0.23537398	AAK1	AP2 associated kinase 1	AAK1	AP2 associated kinase 1	FALSE
221599_at	2.62e-11	2.94e-12	7.575634	17.127749	0.5713324	AAMDC	adipogenesis associated Mth938 domain containing	AAMDC	adipogenesis associated Mth938 domain containing	FALSE
201511_at	0.000443	0.000169	-3.854761	-0.238543	-0.20876257	AAMP	angio associated migratory cell protein	AAMP	angio associated migratory cell protein	FALSE
207225_at	0.0739	0.0511	-1.96546	-5.438492	-0.0648265	AANAT	aralkylamine N-acetyltransferase	AANAT	aralkylamine N-acetyltransferase	FALSE
218089_at	0.0115	0.00637	2.765381	-3.609515	0.12025767	AAR2	AAR2 splicing factor homolog	AAR2	AAR2 splicing factor	FALSE
201000_at	2.02e-12	1.95e-13	-8.051737	19.803894	-0.48580764	AARS	alanyl-tRNA synthetase	AARS1	alanyl-tRNA synthetase 1	FALSE
231845_at	4.33e-05	1.3e-05	-4.502935	2.20098	-0.34515248	AARS2	alanyl-tRNA synthetase 2, mitochondrial	AARS2	alanyl-tRNA synthetase 2, mitochondrial	FALSE
235435_at	1.33e-05	3.6e-06	-4.805467	3.439583	-0.49429043	AASDH	aminoadipate-semialdehyde dehydrogenase	AASDH	aminoadipate-semialdehyde dehydrogenase	FALSE
202170_s_at	2.33e-14	1.73e-15	-8.855961	24.468587	-0.69830004	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	FALSE
214829_at	1.02e-09	1.42e-10	6.87209	13.316066	0.78480002	AASS	aminoadipate-semialdehyde synthase	AASS	aminoadipate-semialdehyde synthase	FALSE
1563088_a_at	0.291	0.238	1.183324	-6.652247	0.12776569	AATBC	apoptosis associated transcript in bladder cancer	AATBC	apoptosis associated transcript in bladder cancer	FALSE
209165_at	4.9e-10	6.58e-11	-7.014679	14.073396	-0.43875243	AATF	apoptosis antagonizing transcription factor	AATF	apoptosis antagonizing transcription factor	FALSE
205986_at	9.4e-12	1e-12	7.766383	18.191381	0.38513167	AATK	apoptosis associated tyrosine kinase	AATK	apoptosis associated tyrosine kinase	FALSE
209459_s_at	0.00541	0.00273	3.04479	-2.837877	0.64818906	ABAT	4-aminobutyrate aminotransferase	ABAT	4-aminobutyrate aminotransferase	FALSE
203504_s_at	0.0626	0.0425	2.045799	-5.281059	0.28663976	ABCA1	ATP binding cassette subfamily A member 1	ABCA1	ATP binding cassette subfamily A member 1	FALSE
220159_at	0.0287	0.0176	2.398525	-4.519729	0.17370166	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	FALSE
215465_at	5.15e-10	6.93e-11	-7.00516	14.022583	-0.92682825	ABCA12	ATP binding cassette subfamily A member 12	ABCA12	ATP binding cassette subfamily A member 12	FALSE
1553605_a_at	0.042	0.0271	-2.230812	-4.895865	-0.48360888	ABCA13	ATP binding cassette subfamily A member 13	ABCA13	ATP binding cassette subfamily A member 13	FALSE
231164_at	1.94e-05	5.43e-06	-4.710326	3.043531	-0.43079071	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	FALSE
210100_s_at	0.0257	0.0156	-2.444639	-4.411867	-0.15062254	ABCA2	ATP binding cassette subfamily A member 2	ABCA2	ATP binding cassette subfamily A member 2	FALSE
204343_at	8.7e-31	5.18e-33	15.352285	64.468171	2.55237626	ABCA3	ATP binding cassette subfamily A member 3	ABCA3	ATP binding cassette subfamily A member 3	FALSE
210082_at	0.000409	0.000155	-3.878422	-0.154888	-0.56379968	ABCA4	ATP binding cassette subfamily A member 4	ABCA4	ATP binding cassette subfamily A member 4	FALSE
241705_at	0.676	0.628	-0.485837	-7.232666	-0.06892192	ABCA5	ATP binding cassette subfamily A member 5	ABCA5	ATP binding cassette subfamily A member 5	FALSE
217504_at	1.7e-26	2.19e-28	13.636003	53.898405	1.38136573	ABCA6	ATP binding cassette subfamily A member 6	ABCA6	ATP binding cassette subfamily A member 6	FALSE
219577_s_at	5.56e-05	1.72e-05	4.436279	1.936363	0.35451673	ABCA7	ATP binding cassette subfamily A member 7	ABCA7	ATP binding cassette subfamily A member 7	FALSE
204719_at	9.09e-37	1.66e-39	17.834499	79.296433	3.78737308	ABCA8	ATP binding cassette subfamily A member 8	ABCA8	ATP binding cassette subfamily A member 8	FALSE
