Updated.gene.symbol	logFC	P.Value
NA	3.67321079	1.98e-31
A1BG	-0.25631526	6.51e-05
A1BG-AS1	-0.09872136	0.025
A1CF	-0.33876632	0.0246
A2M	1.70608863	2.19e-27
A2M-AS1	0.8274408	4.25e-17
A2ML1	-0.5614903	2.47e-05
A2MP1	-0.02730268	0.495
A4GALT	-0.14694243	0.0234
A4GNT	-0.00571707	0.839
AA06	-0.1604596	1.52e-05
AAAS	-0.29486124	1.02e-08
AACS	-0.69004462	1.99e-13
AACSP1	-0.07155274	0.0524
AADAC	0.83417271	3.53e-05
AADACL2	-0.02218273	0.658
AADACP1	-0.34612937	0.035
AADAT	0.02264232	0.821
PRXL2C	0.66566836	3.01e-14
AAGAB	-0.49682008	1.78e-10
AAK1	-0.23537398	2.28e-07
AAMDC	0.5713324	2.94e-12
AAMP	-0.20876257	0.000169
AANAT	-0.0648265	0.0511
AAR2	0.12025767	0.00637
AARS1	-0.48580764	1.95e-13
AARS2	-0.34515248	1.3e-05
AASDH	-0.49429043	3.6e-06
AASDHPPT	-0.69830004	1.73e-15
AASS	0.78480002	1.42e-10
AATBC	0.12776569	0.238
AATF	-0.43875243	6.58e-11
AATK	0.38513167	1e-12
ABAT	0.64818906	0.00273
ABCA1	0.28663976	0.0425
ABCA11P	0.17370166	0.0176
ABCA12	-0.92682825	6.93e-11
ABCA13	-0.48360888	0.0271
ABCA17P	-0.43079071	5.43e-06
ABCA2	-0.15062254	0.0156
ABCA3	2.55237626	5.18e-33
ABCA4	-0.56379968	0.000155
ABCA5	-0.06892192	0.628
ABCA6	1.38136573	2.19e-28
ABCA7	0.35451673	1.72e-05
ABCA8	3.78737308	1.66e-39
ABCA9	0.91942019	6.63e-19
ABCB1	0.95935015	7.39e-09
ABCB10	0.07030544	0.427
ABCB11	-0.09168286	0.00364
ABCB4	-0.35573011	3.66e-06
ABCB5	-0.17049039	2.13e-05
ABCB6	-1.12139676	8.97e-17
ABCB7	-0.17416923	0.00516
ABCB8	-0.18616934	0.00265
ASIC3	-0.04538748	0.196
ABCB9	-0.23178036	0.000715
ABCC1	-0.43046795	0.000936
ABCC10	-0.35688937	0.000164
ABCC11	-0.10718853	0.00629
ABCC12	-0.04126025	0.299
ABCC13	0.44315842	1.44e-17
ABCC2	-0.48447223	2.99e-05
ABCC3	-0.35049156	0.00207
ABCC4	0.51852499	0.000279
ABCC5	-1.04390056	7.4e-09
ABCC6P1	-0.00521815	0.907
ABCC8	-0.35557829	0.023
ABCC9	0.58219504	1.9e-15
ABCD1	-0.20544798	0.00239
ABCD2	0.002483	0.922
ABCD3	0.33576975	3.18e-05
ABCD4	0.25638566	9.36e-06
ABCE1	-0.73084243	4.78e-15
ABCF1	-0.29108283	3.5e-05
ABCF2	-0.51271868	1.36e-10
ABCF3	-0.40945497	3.24e-09
ABCG1	1.14508937	2.34e-17
ABCG2	1.55596389	3.73e-19
ABCG4	-0.09681142	0.00569
ABCG5	-0.08214372	0.0106
ABCG8	-0.11135117	0.000995
ABHD10	-0.59813614	6.89e-06
ABHD11	-0.50033291	1.93e-07
ABHD12	-0.33772764	0.000788
ABHD13	0.82783364	5.77e-21
ABHD14A	0.31388745	0.00211
ABHD14B	0.52654427	3.17e-07
ABHD15	0.06767125	0.461
ABHD16A	0.16545255	0.00906
ABHD16B	-0.09542973	0.0183
ABHD17A	0.21270928	0.0058
ABHD17B	-0.18351272	0.0542
ABHD17C	-0.01969158	0.881
ABHD18	0.36105948	5.14e-07
ABHD2	0.62786954	3.37e-10
ABHD3	-0.26463733	0.000345
ABHD4	-0.2482189	0.000504
ABHD5	1.00311861	9.86e-15
ABHD6	0.91718081	3.23e-15
ABHD8	-0.09903024	0.0696
ABI1	0.22727252	0.00184
ABI2	-0.82851106	2.26e-20
ABI3	0.26708374	9.23e-06
ABI3BP	2.84451097	3.07e-30
ABL1	0.16081723	0.0375
ABL2	0.22990464	0.00447
ABLIM1	1.03651016	5.05e-18
ABLIM2	-0.34593593	1.38e-06
ABLIM3	1.34265086	2.16e-23
ABO	-0.16803822	2.38e-05
