Updated.gene.symbol	logFC	P.Value
NA	3.6854991	1.08e-22
A1BG	-0.4380609	1.53e-05
A2M	1.5487405	1.97e-18
A2M-AS1	1.4224903	2.82e-22
A2ML1	-0.4991599	0.00314
A4GALT	-0.3028296	0.000755
AAAS	-0.1221298	0.291
AACS	-0.9720916	3.95e-06
AADAC	0.9898181	0.000247
AADACP1	-0.4239756	0.122
AADAT	0.360455	0.0261
PRXL2C	0.6480494	1.65e-07
AAGAB	-0.4819952	5.52e-07
AAK1	0.3526961	3.58e-05
AAMDC	0.274228	0.00921
AAMP	-0.1755008	0.00803
AAR2	0.1675138	0.0032
AARS1	-0.3813651	0.000178
AARS2	-0.1581434	0.00802
AASDH	-0.1568928	0.144
AASDHPPT	-0.7410644	2e-09
AASS	0.8869033	0.000172
AATBC	0.1376254	0.499
AATF	-0.4693343	1.03e-08
AATK	0.8012435	1.78e-12
ABAT	0.8673684	0.0015
ABCA1	0.4754576	0.00272
ABCA11P	0.7746052	8.18e-07
ABCA12	-1.6575968	3.14e-08
ABCA13	-0.0682751	0.823
ABCA17P	-0.7170087	0.0142
ABCA2	-0.1969522	0.00383
ABCA3	2.7388241	1.96e-16
ABCA4	-0.8134284	0.000626
ABCA5	0.3549019	0.0317
ABCA6	2.0837168	3.82e-25
ABCA7	0.1543686	0.158
ABCA8	4.4096528	2.2e-22
ABCA9	1.5858194	1.08e-33
ABCB1	1.8459924	1.72e-27
ABCB10	-0.1240196	0.358
ABCB4	-0.7013912	0.000598
ABCB6	-1.1557272	1.45e-14
ABCB7	-0.1029593	0.157
ABCB8	-0.1770412	0.0242
ABCB9	-0.6437111	1.39e-08
ABCC1	-0.288256	0.0239
ABCC10	-0.5735739	1.02e-06
ABCC2	-0.6181361	0.00186
ABCC3	-1.0566535	0.00856
ABCC4	0.1791073	0.307
ABCC5	-0.7974775	1.36e-06
ABCD1	-0.0426963	0.703
ABCD3	0.0626655	0.61
ABCD4	0.507609	6.8e-11
ABCE1	-0.7744211	2.58e-07
ABCF1	-0.2390471	0.0234
ABCF2	-0.4710268	8.4e-08
ABCF3	-0.2756919	0.0567
ABCG1	0.8936682	6.74e-06
ABCG2	1.7731019	2.08e-17
ABHD10	-0.2628591	0.0916
ABHD11	-0.5876025	0.000151
ABHD12	-0.1300526	0.139
ABHD13	0.5914138	1.29e-07
ACY1	-0.6213893	1e-06
ABHD14A	0.2940143	0.0558
ABHD14B	0.4417792	0.000371
ABHD15	0.2250293	0.00966
ABHD16A	-0.4609211	6.16e-06
ABHD17A	0.7499039	9.24e-20
ABHD17B	0.0387868	0.743
ABHD17C	-0.3871023	0.099
ABHD18	-0.1105227	0.0479
ABHD2	0.7399871	2.21e-07
ABHD3	-0.3541808	0.000107
ABHD4	0.1177959	0.13
ABHD5	1.145631	5.4e-12
ABHD6	1.4959526	7.42e-20
ABHD8	0.0794917	0.311
ABI1	-0.1405278	0.179
ABI2	0.9091087	1.58e-09
ABI3	0.2308825	0.0128
ABI3BP	3.100415	9.85e-17
ABL1	0.2834422	0.000532
ABL2	-0.1305967	0.2
ABLIM1	1.3678132	1.47e-10
ABLIM2	-0.2737938	1.76e-05
ABLIM3	1.2591607	2.5e-11
ABO	-0.449924	0.00373
ABR	0.6651124	1e-07
ABRACL	-1.09568	5.26e-13
ABT1	-0.4412002	0.000152
ABTB1	0.8494025	3.3e-19
ABTB2	-0.0969825	0.213
ACAA1	0.5671208	5.18e-07
ACAA2	0.4860229	0.000228
ACACA	-0.3513489	0.0199
ACACB	1.7903005	3.57e-21
ACAD10	-0.0843083	0.0699
ACAD8	-0.1363977	0.483
ACAD9	-0.1835567	0.0748
ACADL	3.3615773	3.06e-34
ACADM	-0.1230202	0.216
ACADS	0.0479229	0.564
ACADSB	0.8588196	0.00189
ACADVL	0.5295286	1.68e-07
ACAN	-0.3472166	3.2e-06
ACAP1	0.4898383	0.00511
ACAP2	-0.4317241	0.0143
ACAP3	0.4239438	0.000423
ACAT1	0.4618577	0.00229
ACAT2	-0.0198182	0.921
ACBD3	-0.7053881	0.00134
ACBD4	0.3432268	3.94e-07
ACBD5	-0.4970755	0.000129
ACBD6	-0.6229769	1.86e-10
