ID	padj	P.Value	lfcSE	stat	logFC	baseMean	Gene.symbol	Gene.title
2326	0.000462	2.17E-08	0.3496	5.597685	1.9566848	16.05	FMO1	flavin containing dimethylaniline monoxygenase 1
3373	0.00145	1.36E-07	0.2066	-5.269985	-1.08889	375.12	HYAL1	hyaluronidase 1
51200	0.001691	2.39E-07	0.5864	-5.16636	-3.0297349	320.52	CPA4	carboxypeptidase A4
55	0.003065	5.77E-07	0.143	-4.998753	-0.7148959	186.48	ACP3	acid phosphatase 3
102467080	0.004761	1.14E-06	0.474	-4.86569	-2.3065793	25.19	LINC02998	long intergenic non-protein coding RNA 2998
80328	0.004761	1.64E-06	0.3121	-4.79351	-1.4960031	24.77	ULBP2	UL16 binding protein 2
283422	0.004761	1.79E-06	0.417	-4.775528	-1.9912425	269.58	LINC01559	long intergenic non-protein coding RNA 1559
3860	0.004761	1.51E-06	0.4643	-4.809887	-2.2332122	3085.76	KRT13	keratin 13
440590	0.007078	3.00E-06	0.1843	-4.670958	-0.8608307	27.16	ZYG11A	"zyg-11 family member A, cell cycle regulator"
400935	0.007102	3.34E-06	0.4856	-4.648569	-2.25719	232.83	IL17REL	interleukin 17 receptor E like
100506697	0.009508	4.92E-06	0.1883	-4.568091	-0.8602377	55.53	LINC00327	long intergenic non-protein coding RNA 327
6707	0.011793	7.33E-06	0.4941	-4.48385	-2.2152848	1549.49	SPRR3	small proline rich protein 3
6699	0.011793	7.22E-06	0.5622	-4.487081	-2.5226416	232.22	SPRR1B	small proline rich protein 1B
1311	0.011793	7.77E-06	0.4688	-4.471434	-2.0960891	67.57	COMP	cartilage oligomeric matrix protein
55214	0.014625	1.03E-05	0.3239	-4.41028	-1.4285965	99.39	P3H2	prolyl 3-hydroxylase 2
124872	0.015219	1.15E-05	0.2573	-4.387624	-1.1290907	119.9	B4GALNT2	"beta-1,4-N-acetyl-galactosaminyltransferase 2"
8796	0.01651	1.32E-05	0.3583	-4.356623	-1.5608159	549.73	SCEL	sciellin
154064	0.02031	1.72E-05	0.4077	-4.298389	-1.7523248	49.12	RAET1L	retinoic acid early transcript 1L
1650	0.020994	1.93E-05	0.0672	-4.272702	-0.2871692	4484.66	DDOST	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit
23729	0.020994	1.98E-05	0.1244	-4.267587	-0.5309479	647.23	SHPK	sedoheptulokinase
440854	0.021759	2.15E-05	0.361	-4.248669	-1.5339424	48.05	CAPN14	calpain 14
51303	0.022683	2.38E-05	0.1404	-4.225418	-0.5933887	935.28	FKBP11	FKBP prolyl isomerase 11
102466736	0.022683	2.46E-05	0.0831	-4.218875	-0.3507409	95.4	MIR6789	microRNA 6789
5646	0.023318	2.63E-05	0.4082	-4.203025	-1.7155626	51.35	PRSS3	serine protease 3
55129	0.023954	2.86E-05	0.1009	-4.184241	-0.422275	705.57	ANO10	anoctamin 10
79820	0.023954	2.93E-05	0.2773	-4.178768	-1.1588037	159.36	CATSPERB	cation channel sperm associated auxiliary subunit beta
135228	0.027368	3.48E-05	0.2303	-4.139709	-0.9532311	566.84	CD109	CD109 molecule
10103	0.028003	5.17E-05	0.0943	-4.047825	-0.3817692	113184.42	TSPAN1	tetraspanin 1
9122	0.028003	4.88E-05	0.2113	-4.061172	-0.8581883	73.61	SLC16A4	solute carrier family 16 member 4
6698	0.028003	5.27E-05	0.5988	-4.043258	-2.4210522	286.13	SPRR1A	small proline rich protein 1A
200407	0.028003	5.22E-05	0.4369	-4.045657	-1.7675652	28.02	CREG2	cellular repressor of E1A stimulated genes 2
4071	0.028003	3.90E-05	0.2989	-4.113239	-1.2294111	2853.71	TM4SF1	transmembrane 4 L six family member 1
105375081	0.028003	4.54E-05	0.2381	-4.078237	-0.9708696	16.14	LOC105375081	uncharacterized LOC105375081
