Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0008035~high-density lipoprotein particle binding	3	27.27272727272727	1.5111048045818807E-5	APOA2, APOA1, PLTP	10	13	19253	444.29999999999995	8.307686425256255E-4	8.311076425200343E-4	7.404413542451215E-4
GOTERM_MF_DIRECT	GO:0120020~cholesterol transfer activity	3	27.27272727272727	6.776926987720299E-5	APOA2, APOA1, PLTP	10	27	19253	213.92222222222222	0.0037204978806932854	0.0018636549216230823	0.0016603471119914733
GOTERM_MF_DIRECT	GO:0070653~high-density lipoprotein particle receptor binding	2	18.181818181818183	0.0014017961743866486	APOA2, APOA1	10	3	19253	1283.5333333333335	0.07425168426237372	0.025694257279162587	0.022891247394163032
GOTERM_MF_DIRECT	GO:0034190~apolipoprotein receptor binding	2	18.181818181818183	0.00186867325666637	APOA2, APOA1	10	4	19253	962.6500000000001	0.09775860904669476	0.025694257279162587	0.022891247394163032
GOTERM_MF_DIRECT	GO:0060228~phosphatidylcholine-sterol O-acyltransferase activator activity	2	18.181818181818183	0.002801845381134215	APOA2, APOA1	10	6	19253	641.7666666666668	0.1430003633329946	0.030820299192476367	0.02745808473511531
GOTERM_MF_DIRECT	GO:0008289~lipid binding	3	27.27272727272727	0.004205137952463845	APOA2, APOA1, PLTP	10	214	19253	26.990186915887847	0.2068716704939314	0.038547097897585245	0.034341959945121396
GOTERM_MF_DIRECT	GO:0030169~low-density lipoprotein particle binding	2	18.181818181818183	0.007920443631092195	CRP, PLTP	10	17	19253	226.5058823529412	0.35426025818479623	0.06223205710143867	0.05544310541764537
GOTERM_MF_DIRECT	GO:0031210~phosphatidylcholine binding	2	18.181818181818183	0.013939576458888221	APOA2, PLTP	10	30	19253	128.35333333333335	0.5379445912074177	0.09583458815485651	0.08537990581069035
GOTERM_MF_DIRECT	GO:0015485~cholesterol binding	2	18.181818181818183	0.025880545320735734	APOA2, APOA1	10	56	19253	68.76071428571429	0.7635866847259716	0.1548915060204902	0.13799425081825492
GOTERM_MF_DIRECT	GO:0031072~heat shock protein binding	2	18.181818181818183	0.028162092003725492	APOA2, APOA1	10	61	19253	63.12459016393443	0.7921926304204072	0.1548915060204902	0.13799425081825492
GOTERM_MF_DIRECT	GO:0001664~G protein-coupled receptor binding	2	18.181818181818183	0.03271094031032204	SAA1, SAA2	10	71	19253	54.23380281690142	0.8394555970122386	0.1635547015516102	0.14571237047325272
GOTERM_MF_DIRECT	GO:0048018~receptor ligand activity	2	18.181818181818183	0.05116398937093911	APOA2, APOA1	10	112	19253	34.38035714285714	0.9443437761060949	0.23450161795013758	0.20891962326466804
GOTERM_MF_DIRECT	GO:0005543~phospholipid binding	2	18.181818181818183	0.05916599534972303	APOA2, APOA1	10	130	19253	29.62	0.9650686542927717	0.25031767263344357	0.22301029016434062
GOTERM_MF_DIRECT	GO:0008201~heparin binding	2	18.181818181818183	0.08064618158905733	SAA1, SAA2	10	179	19253	21.51173184357542	0.990192741317016	0.31682428481415376	0.28226163556170064
