Updated.gene.symbol	logFC	P.Value
SFTPC	6.58	8.25e-26
CLDN18	6.41	4.84e-42
ADH1B	6.18	1.57e-35
AGER	5.7	2.76e-47
CLIC5	5.51	8.06e-41
AQP4	5.29	1.16e-24
CYP4B1	5.27	4.32e-25
TMEM100	5.07	1.36e-32
FABP4	5.03	1.39e-27
GKN2	4.99	2.56e-38
FAM107A	4.95	3.51e-39
MT1M	4.94	7.41e-28
CPB2	4.88	2.68e-37
GPM6A	4.71	3.5e-47
SFTPA1	4.69	1.9e-16
PEBP4	4.61	1.56e-34
TNNC1	4.46	3.21e-47
MCEMP1	4.43	4.46e-35
VEGFD	4.43	2.77e-43
CLEC3B	4.42	7.58e-41
FCN3	4.34	6.99e-30
WIF1	4.27	4.12e-17
ABCA8	4.25	7e-39
SFTPD	4.2	1.28e-18
CA4	4.18	1.38e-34
CD36	4.17	2.13e-33
ADAMTS8	4.15	1.93e-46
INMT	4.09	2.29e-40
MAMDC2	4.05	1.97e-31
LRRK2	4.01	8.3e-28
SCN7A	4.01	4.26e-35
VEPH1	4.01	4.68e-40
CHRDL1	3.99	4.67e-28
COL4A3	3.95	2.4e-26
NA	3.94	5.95e-21
SUSD2	3.94	3.19e-24
PGC	3.92	7.94e-18
TCF21	3.92	8.02e-45
SCGB1A1	3.91	6.52e-09
CYP2B6	3.86	1.4e-21
FHL1	3.81	3.98e-35
EDNRB	3.78	2.56e-38
SFTA2	3.76	2.86e-13
ADRB1	3.75	4.67e-29
EMCN	3.75	3.08e-39
FOSB	3.73	3.35e-20
ALKAL2	3.72	8.6e-40
SFTA3	3.72	1.58e-14
CXCL2	3.71	9.95e-22
AGR3	3.7	1.47e-14
ECRG4	3.7	9.99e-29
FOLR1	3.7	5.25e-18
PDK4	3.7	2.79e-22
LPL	3.69	1.38e-28
FMO2	3.67	1.12e-29
NOSTRIN	3.63	8.81e-43
STXBP6	3.63	1.05e-27
SCGB3A2	3.62	2.75e-11
SELE	3.61	6.2e-17
LIMCH1	3.59	9.95e-26
C7	3.57	9.53e-21
CAVIN2	3.56	2.97e-33
HBB	3.55	9.49e-28
PTPRB	3.54	6.34e-33
BTNL9	3.52	6.92e-33
ANKRD29	3.5	7.48e-38
PLA2G1B	3.5	7.67e-32
SFTPB	3.49	4.13e-15
HBA1	3.47	9e-28
SFTA1P	3.46	5.42e-39
C4BPA	3.44	3.14e-14
ZNF385B	3.43	1.06e-28
HPGD	3.42	3.33e-25
CCL14	3.4	3.32e-24
ACKR1	3.39	7.94e-22
CACNA2D2	3.39	9.69e-33
HSD17B6	3.39	1.73e-27
MARCO	3.38	1.03e-24
DEFA1	3.36	3.43e-23
KCNK3	3.36	9.73e-30
OLR1	3.34	3.35e-24
TNXA	3.34	1.17e-40
ABI3BP	3.29	6.68e-26
C16orf89	3.29	5.07e-17
GPIHBP1	3.29	5e-31
ZBTB16	3.27	9.62e-16
ADIRF	3.26	3.94e-26
HHIP	3.26	7.85e-27
AFF3	3.25	2.5e-28
SCARA5	3.24	2.64e-29
ENTREP1	3.22	1.18e-38
OGN	3.21	2.6e-21
ID4	3.2	2.94e-31
SCGB3A1	3.2	1.62e-12
IL6	3.19	7.3e-15
GLDN	3.18	3.48e-32
ACADL	3.17	2.44e-34
PLAC9	3.16	5.19e-35
PPBP	3.16	3.12e-17
CD52	3.13	7.38e-26
LEPR	3.12	2.63e-25
MFAP4	3.08	1.07e-23
STX11	3.08	1.22e-36
GPX3	3.07	1.71e-30
DLC1	3.05	3.77e-31
SELENBP1	3.05	1.27e-20
C1orf116	3.03	3.98e-18
CFD	3.03	6.33e-29
MACROD2	3.03	1.57e-18
ALOX5	3.02	1.3e-23
S100A10	3.02	2.05e-28
TEK	3.02	1.39e-34
CX3CR1	3.01	3.22e-23
FLRT3	3.01	5.5e-21
NAPSA	3.01	3.45e-11
