ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Updated.gene.symbol	Updated.gene.title
38313_at	0.00868	0.00293	3.102431	-2.233257	1.22384147	ABCA2	ATP binding cassette subfamily A member 2	ABCA2	ATP binding cassette subfamily A member 2
35183_at	7.86e-06	4.92e-07	5.6369607	6.024453	0.9866092	ABCA3	ATP binding cassette subfamily A member 3	ABCA3	ATP binding cassette subfamily A member 3
40963_at	0.276	0.202	-1.290831	-5.875385	-0.38578693	ABCA4	ATP binding cassette subfamily A member 4	ABCA4	ATP binding cassette subfamily A member 4
38574_at	0.000425	6.76e-05	4.2831996	1.300132	1.19800795	ABCA5	ATP binding cassette subfamily A member 5	ABCA5	ATP binding cassette subfamily A member 5
35389_s_at	2.16e-05	1.76e-06	5.2973487	4.792625	2.11445928	ABCA6	ATP binding cassette subfamily A member 6	ABCA6	ATP binding cassette subfamily A member 6
35717_at	4.67e-07	1.43e-08	6.55505	9.450409	2.77763894	ABCA8	ATP binding cassette subfamily A member 8	ABCA8	ATP binding cassette subfamily A member 8
1682_s_at	0.000182	2.37e-05	4.5835984	2.299742	1.14982097	ABCB1	ATP binding cassette subfamily B member 1	ABCB1	ATP binding cassette subfamily B member 1
35458_r_at	0.0239	0.01	2.6585899	-3.355123	0.80576239	ABCB10	ATP binding cassette subfamily B member 10	ABCB10	ATP binding cassette subfamily B member 10
31398_at	0.000802	0.000148	4.0530318	0.558345	1.22856279	ABCB11	ATP binding cassette subfamily B member 11	ABCB11	ATP binding cassette subfamily B member 11
33978_at	0.000765	0.00014	4.0697639	0.61151	1.38259599	ABCB4	ATP binding cassette subfamily B member 4	ABCB4	ATP binding cassette subfamily B member 4
1576_g_at	5.82e-06	3.38e-07	5.735421	6.385908	1.23070975	ABCB4///ABCB1	ATP binding cassette subfamily B member 4///ATP binding cassette subfamily B member 1	ABCB4///ABCB1	ATP binding cassette subfamily B member 4///ATP binding cassette subfamily B member 1
39564_s_at	0.00469	0.00135	3.3625021	-1.518185	0.92927418	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)
41681_at	0.201	0.137	1.5079845	-5.580856	0.25282844	ABCB7	ATP binding cassette subfamily B member 7	ABCB7	ATP binding cassette subfamily B member 7
37496_at	0.0019	0.000435	3.7242296	-0.46032	0.55841931	ABCB8	ATP binding cassette subfamily B member 8	ABCB8	ATP binding cassette subfamily B member 8
40294_at	0.0324	0.0147	2.5131076	-3.693524	0.36928544	ABCB9	ATP binding cassette subfamily B member 9	ABCB9	ATP binding cassette subfamily B member 9
34017_s_at	0.00257	0.000638	-3.6038597	-0.820052	-1.03395526	ABCC1	ATP binding cassette subfamily C member 1	ABCC1	ATP binding cassette subfamily C member 1
36732_at	0.0308	0.0138	-2.537621	-3.637571	-0.45248758	ABCC10	ATP binding cassette subfamily C member 10	ABCC10	ATP binding cassette subfamily C member 10
33721_at	0.349	0.27	1.1140515	-6.083164	0.42374179	ABCC2	ATP binding cassette subfamily C member 2	ABCC2	ATP binding cassette subfamily C member 2
38261_at	0.317	0.24	-1.1872749	-6.000632	-0.55304373	ABCC3	ATP binding cassette subfamily C member 3	ABCC3	ATP binding cassette subfamily C member 3
1931_at	0.238	0.168	1.3944146	-5.740229	0.45818193	ABCC4	ATP binding cassette subfamily C member 4	ABCC4	ATP binding cassette subfamily C member 4
1933_g_at	0.223	0.155	-1.4387033	-5.679461	-0.33137634	ABCC5	ATP binding cassette subfamily C member 5	ABCC5	ATP binding cassette subfamily C member 5
41792_at	4.7e-05	4.54e-06	5.0413717	3.881888	0.84206791	ABCC8	ATP binding cassette subfamily C member 8	ABCC8	ATP binding cassette subfamily C member 8
37261_g_at	0.00259	0.000645	3.6004277	-0.830199	1.14390404	ABCC9	ATP binding cassette subfamily C member 9	ABCC9	ATP binding cassette subfamily C member 9
33603_at	0.0236	0.00987	2.6651888	-3.339416	0.49637945	ABCD1	ATP binding cassette subfamily D member 1	ABCD1	ATP binding cassette subfamily D member 1
31718_at	0.049	0.0243	2.3099875	-4.140044	0.92879684	ABCD2	ATP binding cassette subfamily D member 2	ABCD2	ATP binding cassette subfamily D member 2
37038_at	0.00753	0.00245	3.1632354	-2.069699	0.4659982	ABCD3	ATP binding cassette subfamily D member 3	ABCD3	ATP binding cassette subfamily D member 3
39121_at	0.0106	0.00375	3.0165523	-2.460355	0.76698751	ABCD4	ATP binding cassette subfamily D member 4	ABCD4	ATP binding cassette subfamily D member 4
39355_at	0.606	0.528	-0.6347682	-6.497139	-0.11328352	ABCE1	ATP binding cassette subfamily E member 1	ABCE1	ATP binding cassette subfamily E member 1
39141_at	0.594	0.515	0.6551234	-6.484083	0.05811663	ABCF1	ATP binding cassette subfamily F member 1	ABCF1	ATP binding cassette subfamily F member 1
31878_at	0.162	0.106	1.6423352	-5.377467	0.25428454	ABCF2	ATP binding cassette subfamily F member 2	ABCF2	ATP binding cassette subfamily F member 2
38830_at	0.0168	0.00653	-2.8180309	-2.967192	-0.34486463	ABCF3	ATP binding cassette subfamily F member 3	ABCF3	ATP binding cassette subfamily F member 3
41362_at	0.508	0.425	0.8024175	-6.377543	0.14401335	ABCG1	ATP binding cassette subfamily G member 1	ABCG1	ATP binding cassette subfamily G member 1
33733_at	0.235	0.166	1.4038481	-5.727435	0.33752804	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)
41018_at	4.14e-05	3.86e-06	5.0856276	4.038131	0.88795618	ABHD14A	abhydrolase domain containing 14A	ABHD14A	abhydrolase domain containing 14A
37713_at	0.782	0.731	0.3451825	-6.638619	0.06176836	ABHD14A-ACY1///ACY1	ABHD14A-ACY1 readthrough///aminoacylase 1	ABHD14A-ACY1///ACY1	ABHD14A-ACY1 readthrough///aminoacylase 1
41088_at	0.452	0.369	-0.905157	-6.290767	-0.2092303	ABHD2	abhydrolase domain containing 2	ABHD2	abhydrolase domain containing 2
41857_r_at	0.47	0.387	0.8710546	-6.3207	0.3395589	ABHD3	abhydrolase domain containing 3	ABHD3	abhydrolase domain containing 3
33310_at	0.012	0.00432	2.9660784	-2.59165	1.0523056	ABHD5	abhydrolase domain containing 5	ABHD5	abhydrolase domain containing 5
38924_s_at	6.55e-05	6.87e-06	-4.9282406	3.48496	-0.92285738	ABI1	abl interactor 1	ABI1	abl interactor 1
135_g_at	0.00342	0.000916	3.4884911	-1.157726	0.85416748	ABI2	abl-interactor 2	ABI2	abl-interactor 2
2041_i_at	0.000461	7.48e-05	4.2537496	1.203995	0.82068772	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase
1084_at	0.104	0.0615	-1.9057481	-4.933242	-0.46931027	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase
40155_at	0.439	0.356	0.9296309	-6.268596	0.30160865	ABLIM1	actin binding LIM protein 1	ABLIM1	actin binding LIM protein 1
39597_at	0.0066	0.00206	3.22098	-1.912293	0.85065482	ABLIM3	actin binding LIM protein family member 3	ABLIM3	actin binding LIM protein family member 3
34469_at	0.271	0.197	1.3052106	-5.85721	0.18692982	ABO	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	ABO	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)
39058_at	0.444	0.361	-0.9214441	-6.276076	-0.17071989	ABR	active BCR-related	ABR	active BCR-related
37163_at	0.0747	0.0411	2.0870871	-4.593627	0.29942179	ABTB2	ankyrin repeat and BTB domain containing 2	ABTB2	ankyrin repeat and BTB domain containing 2
40415_at	0.779	0.727	-0.350239	-6.636862	-0.05777175	ACAA1	acetyl-CoA acyltransferase 1	ACAA1	acetyl-CoA acyltransferase 1
41530_at	3.05e-05	2.69e-06	5.1834015	4.385155	1.50081364	ACAA2	acetyl-CoA acyltransferase 2	ACAA2	acetyl-CoA acyltransferase 2
38528_at	0.0922	0.0531	1.9727079	-4.810981	0.29044801	ACACA	acetyl-CoA carboxylase alpha	ACACA	acetyl-CoA carboxylase alpha
31530_at	3.93e-09	2.42e-11	8.1794632	15.646097	2.01352009	ACACB	acetyl-CoA carboxylase beta	ACACB	acetyl-CoA carboxylase beta
37523_at	1.25e-05	9.02e-07	5.4762366	5.438431	1.96124935	ACADL	acyl-CoA dehydrogenase, long chain	ACADL	acyl-CoA dehydrogenase, long chain
37532_at	1.56e-07	3.24e-09	6.9337442	10.888867	1.82019626	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain
39408_at	2.8e-07	7.4e-09	6.7232244	10.088052	1.15156776	ACADS	acyl-CoA dehydrogenase, C-2 to C-3 short chain	ACADS	acyl-CoA dehydrogenase, C-2 to C-3 short chain
40673_at	2.7e-06	1.33e-07	5.9791838	7.287902	1.38395275	ACADSB	acyl-CoA dehydrogenase, short/branched chain	ACADSB	acyl-CoA dehydrogenase, short/branched chain
38376_at	0.00135	0.00028	3.8595325	-0.047315	0.87186546	ACADVL	acyl-CoA dehydrogenase, very long chain	ACADVL	acyl-CoA dehydrogenase, very long chain
39206_s_at	0.00542	0.00161	3.3031529	-1.684878	0.96439108	ACAN	aggrecan	ACAN	aggrecan
37411_at	0.47	0.387	0.8711131	-6.320649	0.27201144	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1
41333_at	0.016	0.00613	-2.8411152	-2.90959	-0.55054641	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2
39678_at	0.00106	0.00021	3.9472528	0.225127	1.16372987	ACAT1	acetyl-CoA acetyltransferase 1	ACAT1	acetyl-CoA acetyltransferase 1
34790_at	0.0279	0.0122	-2.5839271	-3.530687	-0.6537417	ACAT2	acetyl-CoA acetyltransferase 2	ACAT2	acetyl-CoA acetyltransferase 2
36827_at	0.0013	0.000271	-3.8704296	-0.013667	-0.47637597	ACBD3	acyl-CoA binding domain containing 3	ACBD3	acyl-CoA binding domain containing 3
37246_at	0.279	0.204	1.284135	-5.883783	0.1870572	ACD	adrenocortical dysplasia homolog	ACD	adrenocortical dysplasia homolog
37013_at	0.0273	0.0119	2.5939945	-3.507246	0.62091691	ACE	angiotensin I converting enzyme	ACE	angiotensin I converting enzyme
40249_at	4.81e-05	4.68e-06	5.0331639	3.85297	1.68124136	ACHE	acetylcholinesterase (Cartwright blood group)	ACHE	acetylcholinesterase (Cartwright blood group)
33398_at	0.833	0.792	-0.2644582	-6.663223	-0.03257229	ACIN1	apoptotic chromatin condensation inducer 1	ACIN1	apoptotic chromatin condensation inducer 1
33295_at	0.00672	0.00211	3.2130751	-1.933959	0.76422539	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	ACKR1	atypical chemokine receptor 1 (Duffy blood group)
32484_at	0.788	0.738	0.3355145	-6.641908	0.07702661	ACKR2	atypical chemokine receptor 2	ACKR2	atypical chemokine receptor 2
34288_at	0.0039	0.00108	-3.4358736	-1.30934	-0.98453026	ACKR3	atypical chemokine receptor 3	ACKR3	atypical chemokine receptor 3
40881_at	1.92e-08	2.09e-10	-7.6313127	13.553267	-1.27812255	ACLY	ATP citrate lyase	ACLY	ATP citrate lyase
40077_at	0.252	0.18	1.3555577	-5.792079	0.27190475	ACO1	aconitase 1	ACO1	aconitase 1
160044_g_at	0.000322	4.76e-05	4.3847366	1.634213	1.39957878	ACO2	aconitase 2	ACO2	aconitase 2
36625_at	1.64e-06	7.18e-08	6.1395411	7.886132	1.26523924	ACOT1///ACOT2	acyl-CoA thioesterase 1///acyl-CoA thioesterase 2	ACOT1///ACOT2	acyl-CoA thioesterase 1///acyl-CoA thioesterase 2
32405_at	8.83e-06	5.76e-07	5.5950525	5.871156	1.22152806	ACOT11	acyl-CoA thioesterase 11	ACOT11	acyl-CoA thioesterase 11
41058_g_at	0.201	0.138	-1.5047238	-5.585593	-0.33930772	ACOT13	acyl-CoA thioesterase 13	ACOT13	acyl-CoA thioesterase 13
37945_at	1.23e-06	5.03e-08	-6.2314909	8.230674	-0.95172715	ACOT7	acyl-CoA thioesterase 7	ACOT7	acyl-CoA thioesterase 7
36841_at	0.522	0.441	0.7764791	-6.397837	0.18211311	ACOT8	acyl-CoA thioesterase 8	ACOT8	acyl-CoA thioesterase 8
40460_s_at	0.858	0.822	-0.2260817	-6.672641	-0.04292043	ACOX1	acyl-CoA oxidase 1	ACOX1	acyl-CoA oxidase 1
38348_at	9.31e-06	6.19e-07	5.5763393	5.802814	1.82871627	ACOX2	acyl-CoA oxidase 2	ACOX2	acyl-CoA oxidase 2
41697_at	0.435	0.352	-0.9372295	-6.261596	-0.20350059	ACOX3	acyl-CoA oxidase 3, pristanoyl	ACOX3	acyl-CoA oxidase 3, pristanoyl
36611_at	0.107	0.0639	1.8877091	-4.965542	0.17883221	ACP1	acid phosphatase 1, soluble	ACP1	acid phosphatase 1, soluble
36651_at	0.0857	0.0487	-2.0125581	-4.736464	-0.41706805	ACP2	acid phosphatase 2, lysosomal	ACP2	acid phosphatase 2, lysosomal
677_s_at	5e-06	2.81e-07	-5.7839853	6.564831	-1.56504933	ACP5	acid phosphatase 5, tartrate resistant	ACP5	acid phosphatase 5, tartrate resistant
32200_at	0.596	0.517	0.6511179	-6.486684	0.21517594	ACPP	acid phosphatase, prostate	ACPP	acid phosphatase, prostate
35864_at	0.0801	0.0448	2.0492832	-4.666642	0.30079903	ACR	acrosin	ACR	acrosin
38494_at	0.172	0.114	1.6055076	-5.434803	0.441574	ACRV1	acrosomal vesicle protein 1	ACRV1	acrosomal vesicle protein 1
32537_at	0.136	0.0855	1.7482857	-5.205929	0.59225101	ACSBG1	acyl-CoA synthetase bubblegum family member 1	ACSBG1	acyl-CoA synthetase bubblegum family member 1
40082_at	1.4e-06	5.86e-08	6.1919177	8.082264	1.17256071	ACSL1	acyl-CoA synthetase long-chain family member 1	ACSL1	acyl-CoA synthetase long-chain family member 1
33880_at	2.06e-07	4.85e-09	6.8311345	10.498225	0.92187879	ACSL3	acyl-CoA synthetase long-chain family member 3	ACSL3	acyl-CoA synthetase long-chain family member 3
38099_r_at	0.172	0.114	-1.6052785	-5.435156	-0.28171845	ACSL4	acyl-CoA synthetase long-chain family member 4	ACSL4	acyl-CoA synthetase long-chain family member 4
31834_r_at	0.274	0.199	1.2976155	-5.866833	0.43685316	ACSL6	acyl-CoA synthetase long-chain family member 6	ACSL6	acyl-CoA synthetase long-chain family member 6
34050_at	0.0396	0.0187	2.4176458	-3.90722	0.91858179	ACSM1	acyl-CoA synthetase medium-chain family member 1	ACSM1	acyl-CoA synthetase medium-chain family member 1
37800_r_at	0.0829	0.0467	2.0309125	-4.701706	0.69356433	ACSM2A	acyl-CoA synthetase medium-chain family member 2A	ACSM2A	acyl-CoA synthetase medium-chain family member 2A
33279_s_at	0.000415	6.56e-05	4.2919652	1.328813	0.82539603	ACSM3	acyl-CoA synthetase medium-chain family member 3	ACSM3	acyl-CoA synthetase medium-chain family member 3
31737_at	0.003	0.000772	3.5435681	-0.997407	3.07665813	ACTA1	actin, alpha 1, skeletal muscle	ACTA1	actin, alpha 1, skeletal muscle
32755_at	1.46e-05	1.09e-06	5.426044	5.256513	1.63559504	ACTA2	actin, alpha 2, smooth muscle, aorta	ACTA2	actin, alpha 2, smooth muscle, aorta
32318_s_at	1.96e-07	4.51e-09	-6.8495187	10.568174	-1.05280624	ACTB	actin beta	ACTB	actin beta
39063_at	0.275	0.2	1.294541	-5.870714	0.84828165	ACTC1	actin, alpha, cardiac muscle 1	ACTC1	actin, alpha, cardiac muscle 1
34160_at	6.19e-06	3.66e-07	-5.7144935	6.308935	-0.99432193	ACTG1///ACTB	actin gamma 1///actin beta	ACTG1///ACTB	actin gamma 1///actin beta
36680_at	1.25e-09	3.61e-12	8.6660045	17.493907	2.82523996	ACTG1P4///AMY2B///AMY2A///AMY1C///AMY1B///AMY1A	actin gamma 1 pseudogene 4///amylase, alpha 2B (pancreatic)///amylase, alpha 2A (pancreatic)///amylase, alpha 1C (salivary)///amylase, alpha 1B (salivary)///amylase, alpha 1A (salivary)	ACTG1P4///AMY2B///AMY2A///AMY1C///AMY1B///AMY1A	actin gamma 1 pseudogene 4///amylase, alpha 2B (pancreatic)///amylase, alpha 2A (pancreatic)///amylase, alpha 1C (salivary)///amylase, alpha 1B (salivary)///amylase, alpha 1A (salivary)
1197_at	1.38e-05	1.02e-06	5.4441197	5.321964	2.34954102	ACTG2	actin, gamma 2, smooth muscle, enteric	ACTG2	actin, gamma 2, smooth muscle, enteric
41278_at	2.26e-08	2.6e-10	-7.576127	13.342277	-1.32307972	ACTL6A	actin like 6A	ACTL6A	actin like 6A
33450_at	0.299	0.223	1.2318564	-5.947931	0.36552141	ACTL6B	actin like 6B	ACTL6B	actin like 6B
32898_at	0.0131	0.00483	2.927153	-2.691784	0.49700198	ACTL8	actin like 8	ACTL8	actin like 8
39330_s_at	3.74e-09	2.1e-11	-8.2158575	15.784724	-1.89857204	ACTN1	actinin alpha 1	ACTN1	actinin alpha 1
38448_at	3.47e-05	3.13e-06	5.1425294	4.239788	3.14173382	ACTN2	actinin alpha 2	ACTN2	actinin alpha 2
34499_at	0.00133	0.000276	3.8642795	-0.032664	1.97828801	ACTN3	actinin alpha 3 (gene/pseudogene)	ACTN3	actinin alpha 3 (gene/pseudogene)
41753_at	0.0261	0.0112	-2.6162787	-3.455101	-0.42602705	ACTN4	actinin alpha 4	ACTN4	actinin alpha 4
40052_at	0.961	0.95	-0.0627246	-6.696255	-0.00576328	ACTR1A	ARP1 actin-related protein 1 homolog A, centractin alpha	ACTR1A	ARP1 actin-related protein 1 homolog A, centractin alpha
33888_at	0.00112	0.000223	3.929191	0.168737	0.5187924	ACTR1B	ARP1 actin-related protein 1 homolog B, centractin beta	ACTR1B	ARP1 actin-related protein 1 homolog B, centractin beta
35734_at	1.93e-05	1.54e-06	-5.333723	4.923354	-1.01541033	ACTR2	ARP2 actin related protein 2 homolog	ACTR2	ARP2 actin related protein 2 homolog
35271_at	4.14e-09	2.65e-11	-8.1562229	15.557546	-1.33111581	ACTR3	ARP3 actin related protein 3 homolog	ACTR3	ARP3 actin related protein 3 homolog
39764_at	0.376	0.295	-1.0566276	-6.144362	-0.13381681	ACVR1	activin A receptor type 1	ACVR1	activin A receptor type 1
34415_at	0.0124	0.0045	2.9517821	-2.628541	0.58211511	ACVR1B	activin A receptor type 1B	ACVR1B	activin A receptor type 1B
35162_s_at	0.0272	0.0118	2.5973537	-3.499408	0.34990902	ACVR2A	activin A receptor type 2A	ACVR2A	activin A receptor type 2A
39314_at	0.00511	0.00151	3.3264878	-1.61958	0.66797656	ACVR2B	activin A receptor type 2B	ACVR2B	activin A receptor type 2B
1927_s_at	0.000836	0.000156	4.0362888	0.505269	0.91771907	ACVRL1	activin A receptor like type 1	ACVRL1	activin A receptor like type 1
33334_at	0.63	0.554	-0.5949944	-6.521476	-0.08946281	ACYP1	acylphosphatase 1	ACYP1	acylphosphatase 1
907_at	0.00182	0.000412	-3.7412887	-0.408743	-0.73002735	ADA	adenosine deaminase	ADA	adenosine deaminase
40798_s_at	3.48e-07	9.89e-09	-6.6492318	9.807244	-1.62944568	ADAM10	ADAM metallopeptidase domain 10	ADAM10	ADAM metallopeptidase domain 10
33941_at	0.00187	0.000425	3.73123	-0.439172	0.79912747	ADAM11	ADAM metallopeptidase domain 11	ADAM11	ADAM metallopeptidase domain 11
38770_at	0.000458	7.41e-05	-4.2563398	1.212437	-1.59293373	ADAM12	ADAM metallopeptidase domain 12	ADAM12	ADAM metallopeptidase domain 12
38282_at	0.487	0.405	0.8392322	-6.34762	0.10270378	ADAM15	ADAM metallopeptidase domain 15	ADAM15	ADAM metallopeptidase domain 15
1226_at	0.00243	0.000597	-3.6251386	-0.757001	-1.1021596	ADAM17	ADAM metallopeptidase domain 17	ADAM17	ADAM metallopeptidase domain 17
32014_at	0.153	0.0987	1.6771792	-5.322127	0.56782316	ADAM18	ADAM metallopeptidase domain 18	ADAM18	ADAM metallopeptidase domain 18
33812_at	0.000683	0.000122	-4.1110298	0.74315	-0.85821005	ADAM19	ADAM metallopeptidase domain 19	ADAM19	ADAM metallopeptidase domain 19
32298_at	0.0213	0.00874	2.710859	-3.22988	1.01875973	ADAM2	ADAM metallopeptidase domain 2	ADAM2	ADAM metallopeptidase domain 2
33652_at	0.201	0.137	1.5078349	-5.581073	0.5704254	ADAM20	ADAM metallopeptidase domain 20	ADAM20	ADAM metallopeptidase domain 20
31959_at	0.121	0.0741	1.8179568	-5.087865	0.69445087	ADAM21	ADAM metallopeptidase domain 21	ADAM21	ADAM metallopeptidase domain 21
35392_g_at	0.0149	0.00563	2.8718723	-2.83229	0.89864856	ADAM22	ADAM metallopeptidase domain 22	ADAM22	ADAM metallopeptidase domain 22
40350_at	0.0816	0.0458	-2.0393102	-4.685711	-0.90241818	ADAM23	ADAM metallopeptidase domain 23	ADAM23	ADAM metallopeptidase domain 23
35479_at	0.396	0.314	1.0150379	-6.186738	0.4453493	ADAM28	ADAM metallopeptidase domain 28	ADAM28	ADAM metallopeptidase domain 28
37090_at	0.00167	0.00037	3.774289	-0.30856	1.28775129	ADAM3A	ADAM metallopeptidase domain 3A (pseudogene)	ADAM3A	ADAM metallopeptidase domain 3A (pseudogene)
35902_at	0.0337	0.0154	2.4952715	-3.733961	0.9131103	ADAM5	ADAM metallopeptidase domain 5 (pseudogene)	ADAM5	ADAM metallopeptidase domain 5 (pseudogene)
31435_at	0.0576	0.0296	2.2279838	-4.311442	0.59972602	ADAM7	ADAM metallopeptidase domain 7	ADAM7	ADAM metallopeptidase domain 7
40712_at	0.00256	0.000635	-3.6056364	-0.814797	-0.70931983	ADAM8	ADAM metallopeptidase domain 8	ADAM8	ADAM metallopeptidase domain 8
34761_r_at	0.0768	0.0426	-2.0720924	-4.622726	-0.49216616	ADAM9	ADAM metallopeptidase domain 9	ADAM9	ADAM metallopeptidase domain 9
34974_at	0.891	0.862	-0.174583	-6.682966	-0.07065948	ADAMDEC1	ADAM like decysin 1	ADAMDEC1	ADAM like decysin 1
34494_at	0.289	0.214	1.2572378	-5.917103	0.37277739	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2
36269_at	0.00732	0.00236	3.1760502	-2.034941	0.88814487	ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3	ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3
32866_at	0.00359	0.000971	3.4697913	-1.211782	0.46601611	ADAMTSL2	ADAMTS like 2	ADAMTSL2	ADAMTS like 2
38856_at	1.32e-05	9.63e-07	5.4589226	5.375617	1.41517633	ADAMTSL3	ADAMTS like 3	ADAMTSL3	ADAMTS like 3
38014_at	5.74e-07	1.89e-08	-6.4839079	9.181352	-0.95037062	ADAR	adenosine deaminase, RNA specific	ADAR	adenosine deaminase, RNA specific
38748_at	0.929	0.908	0.1165334	-6.691425	0.02218133	ADARB1	adenosine deaminase, RNA specific B1	ADARB1	adenosine deaminase, RNA specific B1
33353_at	9.85e-05	1.13e-05	4.7909428	3.008278	1.6772157	ADCY1	adenylate cyclase 1	ADCY1	adenylate cyclase 1
31924_at	0.235	0.166	1.4037679	-5.727544	0.40474862	ADCY10	adenylate cyclase 10, soluble	ADCY10	adenylate cyclase 10, soluble
34686_at	0.00416	0.00117	3.4105203	-1.381848	0.58074381	ADCY2	adenylate cyclase 2	ADCY2	adenylate cyclase 2
33134_at	0.186	0.125	-1.5548579	-5.511709	-0.23488184	ADCY3	adenylate cyclase 3	ADCY3	adenylate cyclase 3
39383_at	0.00184	0.000417	3.7375203	-0.420149	0.60182346	ADCY6	adenylate cyclase 6	ADCY6	adenylate cyclase 6
40585_at	0.00133	0.000276	-3.864092	-0.033243	-0.77942323	ADCY7	adenylate cyclase 7	ADCY7	adenylate cyclase 7
36246_at	0.00158	0.000344	3.7967582	-0.24004	1.31878323	ADCY8	adenylate cyclase 8	ADCY8	adenylate cyclase 8
33800_at	0.00426	0.0012	3.3999411	-1.411997	0.79617894	ADCY9	adenylate cyclase 9	ADCY9	adenylate cyclase 9
36754_at	0.00505	0.00148	3.3315676	-1.605323	0.67079361	ADCYAP1	adenylate cyclase activating polypeptide 1	ADCYAP1	adenylate cyclase activating polypeptide 1
35568_at	0.0462	0.0226	2.3410766	-4.073712	0.63354028	ADCYAP1R1	ADCYAP receptor type I	ADCYAP1R1	ADCYAP receptor type I
32145_at	0.0768	0.0425	2.0725176	-4.621903	0.21531458	ADD1	adducin 1	ADD1	adducin 1
36815_at	0.00267	0.00067	3.5887111	-0.864794	0.52727214	ADD2	adducin 2	ADD2	adducin 2
33103_s_at	0.331	0.253	1.1537108	-6.039086	0.24235758	ADD3	adducin 3	ADD3	adducin 3
36438_at	0.155	0.0998	1.6714116	-5.331361	0.51426595	ADD3-AS1	ADD3 antisense RNA 1	ADD3-AS1	ADD3 antisense RNA 1
33299_at	0.649	0.575	-0.5631288	-6.539852	-0.15052285	ADGRA3	adhesion G protein-coupled receptor A3	ADGRA3	adhesion G protein-coupled receptor A3
35897_r_at	0.00393	0.00109	3.4328329	-1.318055	0.59307187	ADGRB1	adhesion G protein-coupled receptor B1	ADGRB1	adhesion G protein-coupled receptor B1
