Updated.gene.symbol	logFC	P.Value
SFTPC	4.78402584	6.68e-25
ADH1B	4.67102335	9.4e-30
CLDN18	4.59458622	6.31e-42
AGER	4.57334718	2.03e-49
SFTPA1	4.54603906	4.04e-22
CYP4B1	4.45401279	1.8e-30
TMEM100	4.38997401	8.07e-39
CLIC5	4.38248916	8.11e-40
FABP4	4.27057239	1.01e-38
AQP4	4.26062132	1.63e-24
GKN2	4.25224585	2.02e-48
MAMDC2	4.22930512	5.29e-46
FCN3	4.13376093	1.05e-42
SLC6A4	4.00554812	4.24e-35
SFTPD	3.93723347	7.29e-25
GPM6A	3.88641017	4.08e-43
VEGFD	3.83236031	7.63e-46
FAM107A	3.83020762	6e-42
WIF1	3.82942948	9.33e-26
MCEMP1	3.81853299	2.65e-42
SCN7A	3.81168415	7.39e-40
ADRB1	3.79231058	1.35e-32
ABCA8	3.78737308	1.66e-39
VEPH1	3.76246518	8.44e-49
CA4	3.75836262	3.57e-47
EDNRB	3.73970219	5.81e-41
SCGB1A1	3.72450675	4.85e-13
ADAMTS8	3.69295566	5.89e-49
NA	3.67321079	1.98e-31
CPB2	3.6540625	6.57e-31
TNNC1	3.64652004	1.07e-43
SUSD2	3.6094797	3.19e-37
LRRK2	3.60364612	8.42e-32
CLEC3B	3.59385616	7.92e-40
SCGB3A2	3.58074932	9.97e-16
PEBP4	3.55927356	1.29e-34
CD36	3.55177185	6.08e-38
STXBP6	3.53103416	9.1e-34
FHL1	3.52692375	2.48e-37
HSD17B6	3.46135203	1.61e-37
TCF21	3.4425288	9.49e-43
HPGD	3.43980169	2.66e-27
C4BPA	3.42406628	3.13e-21
EMCN	3.37444986	1.92e-43
SFTA3	3.33438459	6.61e-16
BTNL9	3.31764141	4.13e-42
HBA1	3.31711743	2.24e-29
ZNF385B	3.31653973	1.57e-35
SFTA2	3.31198801	1.38e-16
CAVIN2	3.29234192	2.41e-35
CHRDL1	3.28265378	5.78e-36
NAPSA	3.25619449	1.67e-18
FMO2	3.24333296	2.23e-35
INMT	3.22951644	1.39e-39
COL6A6	3.20216046	5.64e-35
HHIP	3.18537501	1.2e-34
AGR3	3.17643539	1.19e-16
OGN	3.17604844	8.28e-27
FOSB	3.1693122	1.33e-27
HBB	3.15684596	9.89e-28
SCARA5	3.15158732	3.25e-34
SFTPB	3.13842126	1.56e-20
ANKRD29	3.13643544	1.03e-41
GLDN	3.13521721	4.21e-43
PPBP	3.12100693	3.37e-34
CXCL2	3.10988145	2.32e-21
PLA2G1B	3.10665238	1.78e-41
PTPRB	3.10400045	5.85e-37
KCNJ15	3.04176381	5.87e-35
