Updated.gene.symbol	logFC	P.Value
COL11A1	-5.2995742	6.13e-17
MMP12	-5.0454794	5.23e-16
GREM1	-4.9563055	8.22e-23
MMP1	-4.7821859	2.27e-17
COL10A1	-4.620016	2.51e-26
GJB2	-4.473797	1.51e-14
SPP1	-4.3156573	2.19e-24
ANLN	-4.1797676	5.34e-20
CTHRC1	-4.1725641	2.06e-32
TOP2A	-4.1325137	2.19e-22
PSAT1	-3.8950716	2.71e-31
DLGAP5	-3.636325	5.83e-21
TFAP2A	-3.6033376	7e-19
PBK	-3.5245669	2.14e-17
HS6ST2	-3.5145382	2.92e-14
SPRR1B	-3.4225012	5.65e-06
GPR87	-3.4127068	6.65e-11
PCLAF	-3.4030077	4.28e-28
RRM2	-3.389653	9.73e-21
AKR1B10	-3.383174	4.89e-07
BIRC5	-3.3293912	2.13e-19
NEK2	-3.3166014	1.55e-18
UBE2T	-3.3129553	1.37e-27
TPX2	-3.2967787	1.43e-19
UBE2C	-3.2954062	1.47e-20
CCNB1	-3.2592868	5.66e-22
CDC20	-3.257316	2.43e-18
SLC2A1	-3.2438082	7.64e-15
MAD2L1	-3.2371799	7.24e-19
COL1A1	-3.2261678	6.17e-19
ASPM	-3.1980329	4.72e-17
CEP55	-3.192252	3.26e-19
MELK	-3.1824364	4.5e-19
S100A2	-3.15285	3.25e-07
GINS1	-3.1423548	1.17e-20
CYP24A1	-3.1371535	5.61e-12
SULF1	-3.1334404	4.58e-19
SPINK1	-3.1318471	1.24e-06
HMGB3	-3.0963934	1.95e-24
CLDN10	-3.0869302	3.13e-10
CXCL13	-3.0726686	6.19e-10
CENPF	-3.0509687	7.65e-21
CENPA	-3.0480933	2.1e-16
KRT6A	-3.0444986	7.22e-07
CCNB2	-2.9837915	7.13e-20
NUF2	-2.9815492	2.43e-14
CDKN3	-2.9795425	2.22e-16
KRT14	-2.9690097	7.52e-05
ADAMDEC1	-2.9540105	3.06e-09
ADAM12	-2.9512214	3.23e-13
CDH3	-2.9223498	7.16e-14
HMMR	-2.9066273	1.3e-17
CCNA2	-2.8903669	7.16e-18
FNDC1	-2.8849616	2.83e-11
NMU	-2.8716469	9.91e-09
GJB6	-2.869166	7.24e-06
NDC80	-2.8518942	1.39e-15
CDCA7	-2.8419422	2.59e-14
SERPINB5	-2.8142066	1.16e-05
SCG5	-2.8137953	4.48e-16
CDK1	-2.777158	1.75e-17
SIX1	-2.7721188	9.25e-08
TTK	-2.7548993	4.25e-13
KIF4A	-2.7482264	7.49e-17
TMPRSS4	-2.7444687	5.57e-12
KIF20A	-2.7259606	1.9e-20
KIF11	-2.7236469	4.03e-17
THBS2	-2.7109063	3.77e-17
MMP11	-2.6936256	1.42e-17
C15orf48	-2.6759346	6.53e-10
DNAJC12	-2.6753992	3.81e-08
AURKA	-2.666446	1.46e-18
SLC7A11	-2.6505859	4.45e-13
DSP	-2.6426202	5.44e-20
NCAPG	-2.6399785	1.18e-18
DEPDC1	-2.6177132	4.14e-13
ECT2	-2.6128663	2.6e-20
FGB	-2.6058601	0.000467
CP	-2.6056194	1.3e-10
SPRR1A	-2.6054496	0.000101
ANKRD22	-2.5921262	6.26e-13
C2CD4A	-2.5847639	1.53e-10
PTHLH	-2.5717473	1.85e-05
ZWINT	-2.5710774	4.7e-18
CST1	-2.5544662	1.37e-09
PCP4	-2.5466386	6.17e-07
SRD5A1	-2.5304448	4.64e-17
BUB1	-2.5171165	3.77e-14
CHEK1	-2.5164858	2.57e-15
KRT17	-2.4996141	4.03e-05
MCM10	-2.4860479	1.42e-12
POSTN	-2.4849583	3.58e-16
KRT6B	-2.4728382	0.000255
CDCA3	-2.4712044	1.73e-16
GINS2	-2.467817	1.9e-18
PRC1	-2.4661475	4.53e-14
MCM4	-2.4600036	1.46e-17
ERO1A	-2.4534833	3.64e-18
MKI67	-2.4399062	5.97e-19
KIF14	-2.4336013	1.33e-13
TYMS	-2.4245316	1.35e-13
PCDH7	-2.4235602	5.33e-09
FANCI	-2.414727	3.39e-17
GPX2	-2.4064813	2.22e-05
HMGB3P1	-2.4002094	2.61e-22
DEPDC1B	-2.3966675	2.36e-15
EGLN3	-2.3806983	6.53e-13
CENPU	-2.3794548	3.72e-16
